,5c13e9a2b2746e00012c4580
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.014
Pond10Fish6_PondTime,51.337
Pond10Fish6_PondOutcome,80
Pond10Fish6_TotalOutcome,890
Pond10Fish6_TimeLeft,257.676
Type,RT
FishN,16
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.062
Pond10Fish7_PondTime,62.271
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,900
Pond10Fish7_TimeLeft,246.742
Type,RT
FishN,16
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.174
Pond10Fish8_PondTime,74.637
Pond10Fish8_PondOutcome,100
Pond10Fish8_TotalOutcome,910
Pond10Fish8_TimeLeft,234.376
Type,RT
FishN,16
Fish,9
Pond10Fish9_FishType,golden
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,1.029
Pond10Fish9_PondTime,89.004
Pond10Fish9_PondOutcome,120
Pond10Fish9_TotalOutcome,930
Pond10Fish9_TimeLeft,220.009
Type,RT
FishN,16
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,1.007
Pond10Fish10_PondTime,106.372
Pond10Fish10_PondOutcome,130
Pond10Fish10_TotalOutcome,940
Pond10Fish10_TimeLeft,202.641
Type,RT
FishN,16
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,15
Pond10Fish11_CatchTime,1.579
Pond10Fish11_PondTime,128.739
Pond10Fish11_PondOutcome,140
Pond10Fish11_TotalOutcome,950
Pond10Fish11_TimeLeft,180.274
Type,RT
FishN,16
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,20
Pond10Fish12_CatchTime,1.151
Pond10Fish12_PondTime,161.105
Pond10Fish12_PondOutcome,150
Pond10Fish12_TotalOutcome,960
Pond10Fish12_TimeLeft,147.908
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,0.767
PondTime,161.238
TimeLeft,147.273
PondOutcome,150
TotalOutcome,960
PondStart,PondStart
PondIntroTime,19.93510017171502
Type,RT
FishN,15
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.089
Pond11Fish1_PondTime,8.568
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,970
Pond11Fish1_TimeLeft,118.14
Type,RT
FishN,15
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.384
