,5ba88ccbdd59150001381091
Pond9Fish12_CatchTime,0.983
Pond9Fish12_PondTime,92.997
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,770
Pond9Fish12_TimeLeft,299.814
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.638
Pond9Fish13_PondTime,105.364
Pond9Fish13_PondOutcome,130
Pond9Fish13_TotalOutcome,780
Pond9Fish13_TimeLeft,287.447
Type,RT
FishN,12
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,10
Pond9Fish14_CatchTime,1.113
Pond9Fish14_PondTime,119.73
Pond9Fish14_PondOutcome,140
Pond9Fish14_TotalOutcome,790
Pond9Fish14_TimeLeft,273.081
Type,RT
FishN,12
Fish,15
Pond9Fish15_FishType,purple
Pond9Fish15_FishLatency,12
Pond9Fish15_CatchTime,0.907
Pond9Fish15_PondTime,137.096
Pond9Fish15_PondOutcome,150
Pond9Fish15_TotalOutcome,800
Pond9Fish15_TimeLeft,255.715
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,0.921
PondTime,137.133
TimeLeft,255.176
PondOutcome,150
TotalOutcome,800
PondStart,PondStart
PondIntroTime,17.462063035927713
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.904
Pond1Fish1_PondTime,9.267
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,810
Pond1Fish1_TimeLeft,227.832
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,1.183
Pond1Fish2_PondTime,17.102
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,820
Pond1Fish2_TimeLeft,219.998
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.96
Pond1Fish3_PondTime,25.483
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,830
Pond1Fish3_TimeLeft,211.617
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.037
Pond1Fish4_PondTime,34.534
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,840
Pond1Fish4_TimeLeft,202.566
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,1.114
Pond1Fish5_PondTime,44.4
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,850
Pond1Fish5_TimeLeft,192.7
Type,RT
FishN,13
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.031
Pond1Fish6_PondTime,55.333
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,860
Pond1Fish6_TimeLeft,181.767
Type,RT
FishN,13
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,2.055
Pond1Fish7_PondTime,67.765
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,870
Pond1Fish7_TimeLeft,169.335
Type,RT
FishN,13
Fish,8
