,5c74edf1280f66001ad7ca29
Pond3Fish15_PondOutcome,160
Pond3Fish15_TotalOutcome,804
Pond3Fish15_TimeLeft,408.053
Type,RD
FishN,15
Fish,16
Pond3Fish16_FishType,blue
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,1.052
Pond3Fish16_PondTime,159.466
Pond3Fish16_PondOutcome,172
Pond3Fish16_TotalOutcome,816
Pond3Fish16_TimeLeft,385.686
PondEnd_LastFish,16
FishN,19
Type,RD
GiveUpTime,26.83
PondTime,185.56
TimeLeft,359.088
PondOutcome,172
TotalOutcome,816
PondStart,PondStart
PondIntroTime,19.625043177511543
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.09
Pond11Fish1_PondTime,7.801
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,828
Pond11Fish1_TimeLeft,331.034
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,0.885
Pond11Fish2_PondTime,13.916
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,840
Pond11Fish2_TimeLeft,324.92
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.816
Pond11Fish3_PondTime,20.282
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,852
Pond11Fish3_TimeLeft,318.553
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.261
Pond11Fish4_PondTime,26.934
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,864
Pond11Fish4_TimeLeft,311.902
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,1.135
Pond11Fish5_PondTime,33.916
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,876
Pond11Fish5_TimeLeft,304.92
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,1.225
Pond11Fish6_PondTime,41.283
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,888
Pond11Fish6_TimeLeft,297.553
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.256
Pond11Fish7_PondTime,49.099
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,900
Pond11Fish7_TimeLeft,289.737
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,1.057
Pond11Fish8_PondTime,57.465
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,912
Pond11Fish8_TimeLeft,281.371
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,1.072
Pond11Fish9_PondTime,66.5
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,924
