,580241d0279ffd000124e3e3
FishN,17
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,8.571428571428571
Pond2Fish6_CatchTime,1.023
Pond2Fish6_PondTime,60.32
Pond2Fish6_PondOutcome,72
Pond2Fish6_TotalOutcome,836
Pond2Fish6_TimeLeft,149.616
Type,RD
FishN,17
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,10
Pond2Fish7_CatchTime,0.872
Pond2Fish7_PondTime,74.688
Pond2Fish7_PondOutcome,84
Pond2Fish7_TotalOutcome,848
Pond2Fish7_TimeLeft,135.248
Type,RD
FishN,17
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,12
Pond2Fish8_CatchTime,1.224
Pond2Fish8_PondTime,92.083
Pond2Fish8_PondOutcome,96
Pond2Fish8_TotalOutcome,860
Pond2Fish8_TimeLeft,117.842
Type,RD
FishN,17
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,15
Pond2Fish9_CatchTime,0.82
Pond2Fish9_PondTime,114.456
Pond2Fish9_PondOutcome,108
Pond2Fish9_TotalOutcome,872
Pond2Fish9_TimeLeft,95.48
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,27.403
PondTime,140.89
TimeLeft,68.542
PondOutcome,108
TotalOutcome,872
PondStart,PondStart
PondIntroTime,12.670938638038933
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,0.86
Pond1Fish1_PondTime,8.895
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,884
Pond1Fish1_TimeLeft,46.353
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,gray
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.124
Pond1Fish2_PondTime,16.257
Pond1Fish2_PondOutcome,14
Pond1Fish2_TotalOutcome,886
Pond1Fish2_TimeLeft,38.991
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.823
Pond1Fish3_PondTime,24.069
Pond1Fish3_PondOutcome,26
Pond1Fish3_TotalOutcome,898
Pond1Fish3_TimeLeft,31.179
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.756
Pond1Fish4_PondTime,32.436
Pond1Fish4_PondOutcome,38
Pond1Fish4_TotalOutcome,910
Pond1Fish4_TimeLeft,22.812
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.874
Pond1Fish5_PondTime,41.464
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,922
Pond1Fish5_TimeLeft,13.784
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.883
Pond1Fish6_PondTime,51.322
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,934
Pond1Fish6_TimeLeft,3.926
