,5e1b28d4d370f435a62cfbe2
Pond6Fish14_PondTime,148.667
Pond6Fish14_PondOutcome,148
Pond6Fish14_TotalOutcome,860
Pond6Fish14_TimeLeft,113.156
PondEnd_LastFish,14
FishN,17
Type,RD
GiveUpTime,25.138
PondTime,173.38
TimeLeft,87.934
PondOutcome,148
TotalOutcome,860
PondStart,PondStart
PondIntroTime,17.151657952927053
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.34
Pond7Fish1_PondTime,7.849
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,872
Pond7Fish1_TimeLeft,62.281
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,14.049
Pond7Fish2_PondOutcome,12
Pond7Fish2_TotalOutcome,872
Pond7Fish2_TimeLeft,56.081
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.23
Pond7Fish3_PondTime,20.492
Pond7Fish3_PondOutcome,24
Pond7Fish3_TotalOutcome,884
Pond7Fish3_TimeLeft,49.638
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.264
Pond7Fish4_PondTime,27.181
Pond7Fish4_PondOutcome,36
Pond7Fish4_TotalOutcome,896
Pond7Fish4_TimeLeft,42.948
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.878
Pond7Fish5_PondTime,34.201
Pond7Fish5_PondOutcome,48
Pond7Fish5_TotalOutcome,908
Pond7Fish5_TimeLeft,35.929
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.092
Pond7Fish6_PondTime,41.6
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,920
Pond7Fish6_TimeLeft,28.529
Type,RD
FishN,18
Fish,7
