,5cd323f554644f00188d3f86
Pond3Fish4_TimeLeft,440.375
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.113
Pond3Fish5_PondTime,47.907
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,704
Pond3Fish5_TimeLeft,429.432
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.111
Pond3Fish6_PondTime,60.277
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,715
Pond3Fish6_TimeLeft,417.063
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.122
Pond3Fish7_PondTime,74.647
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,726
Pond3Fish7_TimeLeft,402.694
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,15.555
PondTime,89.53
TimeLeft,387.303
PondOutcome,77
TotalOutcome,726
PondStart,PondStart
PondIntroTime,18.669017490465194
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.986
Pond11Fish1_PondTime,8.28
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,737
Pond11Fish1_TimeLeft,359.73
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.185
Pond11Fish2_PondTime,14.935
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,748
Pond11Fish2_TimeLeft,353.074
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.93
Pond11Fish3_PondTime,21.915
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,759
Pond11Fish3_TimeLeft,346.095
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.072
Pond11Fish4_PondTime,29.288
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,770
Pond11Fish4_TimeLeft,338.722
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.173
Pond11Fish5_PondTime,37.099
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,781
Pond11Fish5_TimeLeft,330.911
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.558
Pond11Fish6_PondTime,45.457
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,792
Pond11Fish6_TimeLeft,322.553
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.067
Pond11Fish7_PondTime,54.48
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,803
Pond11Fish7_TimeLeft,313.53
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.218
Pond11Fish8_PondTime,64.34
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,814
Pond11Fish8_TimeLeft,303.67
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.023
Pond11Fish9_PondTime,75.295
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,825
Pond11Fish9_TimeLeft,292.715
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1.494
Pond11Fish10_PondTime,87.667
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,836
Pond11Fish10_TimeLeft,280.343
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.117
Pond11Fish11_PondTime,102.052
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,847
Pond11Fish11_TimeLeft,265.957
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,15.77
PondTime,117.152
TimeLeft,250.352
PondOutcome,121
TotalOutcome,847
PondStart,PondStart
PondIntroTime,14.45109776686877
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,1.251
Pond7Fish1_PondTime,9.735
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,858
Pond7Fish1_TimeLeft,225.536
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.423
Pond7Fish2_PondTime,18.1
